# rank	seq_id	rel_abund_perc
1	NC_001144.5|kraken:taxid|559292	34.4528718732938
2	NC_012865.1|kraken:taxid|573826	18.5317843067967
3	NC_001143.9|kraken:taxid|559292	6.82100467662878
4	NC_001141.2|kraken:taxid|559292	6.16561582888889
5	NC_006037.1|kraken:taxid|28985	5.53615406961901
6	NC_001138.5|kraken:taxid|559292	5.26443404113906
7	NC_016475.1|kraken:taxid|573729	4.24272047051924
8	NC_012860.1|kraken:taxid|573826	2.28573490369959
9	NC_001139.9|kraken:taxid|559292	2.2413656274296
10	NC_016476.1|kraken:taxid|573729	2.13230553276962
11	NC_005782.2|kraken:taxid|284811	1.85762620181967
12	NC_016477.1|kraken:taxid|573729	1.59778160168971
13	NC_016478.1|kraken:taxid|573729	1.57761672063972
14	NC_005784.3|kraken:taxid|284811	0.974397966204825
15	NC_001145.3|kraken:taxid|559292	0.61223291693189
16	NC_012866.1|kraken:taxid|573826	0.599653388233892
17	NC_001147.6|kraken:taxid|559292	0.595272110689893
18	NC_012863.1|kraken:taxid|573826	0.5550916731859
19	NC_016460.1|kraken:taxid|578455	0.551058243544901
20	NC_016474.1|kraken:taxid|573729	0.540157261304903
21	NC_016462.1|kraken:taxid|578455	0.49921093111091
22	NC_001146.8|kraken:taxid|559292	0.453787263141919
23	NC_005789.1|kraken:taxid|284811	0.38887667996293
24	NC_001133.9|kraken:taxid|559292	0.305072704607945
25	NC_006041.1|kraken:taxid|28985	0.27790063157295
26	NC_016457.1|kraken:taxid|578455	0.249435419560955
27	NC_006038.1|kraken:taxid|28985	0.16904156831297
28	NC_001135.5|kraken:taxid|559292	0.108569099899981
29	NC_012867.1|kraken:taxid|573826	0.0922797271456834
30	NC_012861.1|kraken:taxid|573826	0.0793644897850858
31	NC_012862.1|kraken:taxid|573826	0.0734114201686868
32	NC_005787.5|kraken:taxid|284811	0.0319739140448943
33	NC_001137.3|kraken:taxid|559292	0.0300176663319946
34	NC_001136.10|kraken:taxid|559292	0.028002068433895
35	NC_016461.1|kraken:taxid|578455	0.0274424577297951
36	NC_006039.1|kraken:taxid|28985	0.0220217542466961
37	NC_016459.1|kraken:taxid|578455	0.0210252627993962
38	NC_001140.6|kraken:taxid|559292	0.00396700606244929
39	NC_001224.1|kraken:taxid|559292	0.00285931125197949
40	NC_005785.6|kraken:taxid|284811	0.000861208799308845
