# rank	seq_id	rel_abund_perc
1	gi|9628874|ref|NC_001721.1|	27.9313348326039
2	gi|157265283|ref|NC_009805.1|	14.597517829302
3	gi|304373555|ref|NC_014467.1|	8.33404205827116
4	gi|89152531|ref|NC_007806.1|	7.42846420825103
5	gi|500998680|ref|NC_015784.2|	5.7445897228208
6	gi|41057583|ref|NC_005331.1|	3.6393529758505
7	gi|292397674|ref|NC_013953.1|	3.51847000159049
8	gi|222824550|ref|NC_012042.1|	3.08023684145043
9	gi|529154246|ref|NC_021926.1|	2.99389408275042
10	gi|326782972|ref|NC_015284.1|	2.26683037538031
11	gi|9626440|ref|NC_001434.1|	2.09516875414029
12	gi|428782997|ref|NC_019726.1|	2.02731271205028
13	gi|53869480|ref|NC_005345.2|	1.90034322216026
14	gi|24943162|ref|NC_004366.1|	1.87600678640026
15	gi|50080143|ref|NC_004452.3|	1.76069899189024
16	gi|449147320|ref|NC_020258.1|	1.57273600814022
17	gi|428782081|ref|NC_019712.1|	1.4477155136802
18	gi|295413968|ref|NC_014083.1|	1.23744907693017
19	gi|360040865|ref|NC_016440.1|	1.08268639320015
20	gi|84662593|ref|NC_007709.1|	1.00839981736014
21	gi|9629708|ref|NC_001836.1|	0.606385277012084
22	gi|509141608|ref|NC_021343.1|	0.595728226948083
23	gi|225626377|ref|NC_012419.1|	0.43284631516406
24	gi|358356482|ref|NC_016163.1|	0.383289806364053
25	gi|479336462|ref|NC_021061.1|	0.36334673032905
26	gi|378554472|ref|NC_016896.1|	0.317280858684044
27	gi|557478762|ref|NC_022761.1|	0.294541179395041
28	gi|21557557|ref|NC_004045.1|	0.197486472737027
29	gi|56692979|ref|NC_006553.1|	0.192301819659027
30	gi|37591172|ref|NC_002815.2|	0.184304013662026
31	gi|27151463|ref|NC_004442.1|	0.154133942852021
32	gi|21450040|ref|NC_004034.1|	0.149264090470021
33	gi|198449227|ref|NC_011217.1|	0.148041956652021
34	gi|440285320|ref|NC_020070.1|	0.104770975020015
35	gi|449265392|ref|NC_003747.2|	0.093429316391813
36	gi|475994034|ref|NC_020900.1|	0.0895837350770124
37	gi|207270774|ref|NC_011308.1|	0.0689959401032096
38	gi|41057345|ref|NC_005343.1|	0.0488359694719068
39	gi|21218484|ref|NC_003899.1|	0.0253955113958035
40	gi|9626993|ref|NC_001510.1|	0.00678765838840094
